active,code,title,tax_category,visible,price,code_of_parent,compare_at_price,subtitle,description,format,vendor,category,weight,considers_stock,shows_stock_amount,stock,featured,new,base_unit,base_quantity,base_quantity_sold,base_quantity_package,base_perform_calculation,tag_list,packaging_duration,option_01_label,option_02_label,option_03_label,option_01,option_02,option_03,handle,custom_url,content_title_tag,content_meta_description,content_meta_keywords,image_url_1,image_url_2,image_url_3,property_key_1,property_value_1,property_key_2,property_value_2,property_key_3,property_value_3,recommended_product_code_1,recommended_product_description_1,recommended_product_code_2,recommended_product_description_2,recommended_product_code_3,recommended_product_description_3
TRUE,90000000112,Ball,standard,TRUE,2.50€,900000000345,2.99€,in vielen Farben,"<p><strong>Origami ist die Kunst des Papierfaltens.</strong></p> <p>Ausgehend von einem zumeist quadratischen Blatt Papier entstehen allein durch Falten 2- oder 3-dimensionale Objekte wie z. B. Tiere, V&ouml;gel, Oriplane, Gegenst&auml;nde und geometrische K&ouml;rper. Dabei sind speziell im westlichen Kulturkreis Schere und Klebstoff zum Teil absolut verp&ouml;nt.</p> <p>Ein Modell beginnt meistens mit einer sogenannten Basis (Grundform).&nbsp;Die vier klassischen Grundformen sind:</p> <ul> <li>Windm&uuml;hlen-Grundform</li> <li>Frosch-Grundform</li> <li>Vogel-Grundform</li> <li>Wasserbomben-Grundform</li> </ul> <p>Insgesamt gibt es heute wesentlich mehr Grundformen; diese vier Grundformen hei&szlig;en klassisch, da sie seit Jahrhunderten benutzt werden. Da man mit diesen Grundformen in der Komplexit&auml;t jedoch eingeschr&auml;nkt ist, wurden in der letzten Zeit mehr und mehr Grundformen entwickelt. Einfache Origami-Modelle kommen gew&ouml;hnlich mit 10 bis 30 Faltschritten aus und sind daher meist nicht so naturgetreu, aufgrund ihrer Einfachheit besitzen sie jedoch einen ganz speziellen Charme.</p>",html,VersaCommerce,Origami,0,FALSE,FALSE,,FALSE,FALSE,Stück,1,1,1,FALSE,"Demoprodukt,Grün,Origami,Papierfaltkunst, Rot",2,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,90000000101,Frosch,standard,FALSE,2.69€,900000000345,,in Froschgrün,"<p><strong>Origami ist die Kunst des Papierfaltens.</strong></p> <p>Ausgehend von einem zumeist quadratischen Blatt Papier entstehen allein durch Falten 2- oder 3-dimensionale Objekte wie z. B. Tiere, V&ouml;gel, Oriplane, Gegenst&auml;nde und geometrische K&ouml;rper. Dabei sind speziell im westlichen Kulturkreis Schere und Klebstoff zum Teil absolut verp&ouml;nt.</p> <p>Ein Modell beginnt meistens mit einer sogenannten Basis (Grundform).&nbsp;Die vier klassischen Grundformen sind:</p> <ul> <li>Windm&uuml;hlen-Grundform</li> <li>Frosch-Grundform</li> <li>Vogel-Grundform</li> <li>Wasserbomben-Grundform</li> </ul> <p>Insgesamt gibt es heute wesentlich mehr Grundformen; diese vier Grundformen hei&szlig;en klassisch, da sie seit Jahrhunderten benutzt werden. Da man mit diesen Grundformen in der Komplexit&auml;t jedoch eingeschr&auml;nkt ist, wurden in der letzten Zeit mehr und mehr Grundformen entwickelt. Einfache Origami-Modelle kommen gew&ouml;hnlich mit 10 bis 30 Faltschritten aus und sind daher meist nicht so naturgetreu, aufgrund ihrer Einfachheit besitzen sie jedoch einen ganz speziellen Charme.</p>",html,VersaCommerce,Origami,0,TRUE,TRUE,49,FALSE,FALSE,Stück,1,1,1,FALSE,"Demoprodukt,Grün,Origami,Tiere, Frosch, Grün, Papier",1,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,90000000103,Kranich,standard,TRUE,5.49€,900000000345,,in Blau,"<p><strong>Origami ist die Kunst des Papierfaltens.</strong></p> <p>Ausgehend von einem zumeist quadratischen Blatt Papier entstehen allein durch Falten 2- oder 3-dimensionale Objekte wie z. B. Tiere, V&ouml;gel, Oriplane, Gegenst&auml;nde und geometrische K&ouml;rper. Dabei sind speziell im westlichen Kulturkreis Schere und Klebstoff zum Teil absolut verp&ouml;nt.</p> <p>Ein Modell beginnt meistens mit einer sogenannten Basis (Grundform).&nbsp;Die vier klassischen Grundformen sind:</p> <ul> <li>Windm&uuml;hlen-Grundform</li> <li>Frosch-Grundform</li> <li>Vogel-Grundform</li> <li>Wasserbomben-Grundform</li> </ul> <p>Insgesamt gibt es heute wesentlich mehr Grundformen; diese vier Grundformen hei&szlig;en klassisch, da sie seit Jahrhunderten benutzt werden. Da man mit diesen Grundformen in der Komplexit&auml;t jedoch eingeschr&auml;nkt ist, wurden in der letzten Zeit mehr und mehr Grundformen entwickelt. Einfache Origami-Modelle kommen gew&ouml;hnlich mit 10 bis 30 Faltschritten aus und sind daher meist nicht so naturgetreu, aufgrund ihrer Einfachheit besitzen sie jedoch einen ganz speziellen Charme.</p>",html,VersaCommerce,Origami,0,,,,FALSE,FALSE,Stück,1,1,1,FALSE,"Demoprodukt,Origami,Tiere, Blau, Türkis",3,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,90000000105,Rose,standard,TRUE,4.50€,900000000345,,in Rosarot,"<p><strong>Origami ist die Kunst des Papierfaltens.</strong></p> <p>Ausgehend von einem zumeist quadratischen Blatt Papier entstehen allein durch Falten 2- oder 3-dimensionale Objekte wie z. B. Tiere, V&ouml;gel, Oriplane, Gegenst&auml;nde und geometrische K&ouml;rper. Dabei sind speziell im westlichen Kulturkreis Schere und Klebstoff zum Teil absolut verp&ouml;nt.</p> <p>Ein Modell beginnt meistens mit einer sogenannten Basis (Grundform).&nbsp;Die vier klassischen Grundformen sind:</p> <ul> <li>Windm&uuml;hlen-Grundform</li> <li>Frosch-Grundform</li> <li>Vogel-Grundform</li> <li>Wasserbomben-Grundform</li> </ul> <p>Insgesamt gibt es heute wesentlich mehr Grundformen; diese vier Grundformen hei&szlig;en klassisch, da sie seit Jahrhunderten benutzt werden. Da man mit diesen Grundformen in der Komplexit&auml;t jedoch eingeschr&auml;nkt ist, wurden in der letzten Zeit mehr und mehr Grundformen entwickelt. Einfache Origami-Modelle kommen gew&ouml;hnlich mit 10 bis 30 Faltschritten aus und sind daher meist nicht so naturgetreu, aufgrund ihrer Einfachheit besitzen sie jedoch einen ganz speziellen Charme.</p>",html,VersaCommerce,Origami,0,,,,FALSE,TRUE,Stück,1,1,1,FALSE,"Blume,Demoprodukt,Origami,Papierfaltkunst,Rosa,Rot",4,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,90000000107,Schwalbe,standard,TRUE,3.50€,900000000345,,in Pink,"<p><strong>Origami ist die Kunst des Papierfaltens.</strong></p> <p>Ausgehend von einem zumeist quadratischen Blatt Papier entstehen allein durch Falten 2- oder 3-dimensionale Objekte wie z. B. Tiere, V&ouml;gel, Oriplane, Gegenst&auml;nde und geometrische K&ouml;rper. Dabei sind speziell im westlichen Kulturkreis Schere und Klebstoff zum Teil absolut verp&ouml;nt.</p> <p>Ein Modell beginnt meistens mit einer sogenannten Basis (Grundform).&nbsp;Die vier klassischen Grundformen sind:</p> <ul> <li>Windm&uuml;hlen-Grundform</li> <li>Frosch-Grundform</li> <li>Vogel-Grundform</li> <li>Wasserbomben-Grundform</li> </ul> <p>Insgesamt gibt es heute wesentlich mehr Grundformen; diese vier Grundformen hei&szlig;en klassisch, da sie seit Jahrhunderten benutzt werden. Da man mit diesen Grundformen in der Komplexit&auml;t jedoch eingeschr&auml;nkt ist, wurden in der letzten Zeit mehr und mehr Grundformen entwickelt. Einfache Origami-Modelle kommen gew&ouml;hnlich mit 10 bis 30 Faltschritten aus und sind daher meist nicht so naturgetreu, aufgrund ihrer Einfachheit besitzen sie jedoch einen ganz speziellen Charme.</p>",visual,VersaCommerce,Origami,0,TRUE,FALSE,15,FALSE,FALSE,Stück,1,1,1,FALSE,"Demoprodukt,Origami,Papierfaltkunst,Pink,Tiere",1,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,90000000109,Taube,standard,TRUE,5.50€,,,in Rot,"<p><strong>Origami ist die Kunst des Papierfaltens.</strong></p> <p>Ausgehend von einem zumeist quadratischen Blatt Papier entstehen allein durch Falten 2- oder 3-dimensionale Objekte wie z. B. Tiere, V&ouml;gel, Oriplane, Gegenst&auml;nde und geometrische K&ouml;rper. Dabei sind speziell im westlichen Kulturkreis Schere und Klebstoff zum Teil absolut verp&ouml;nt.</p> <p>Ein Modell beginnt meistens mit einer sogenannten Basis (Grundform).&nbsp;Die vier klassischen Grundformen sind:</p> <ul> <li>Windm&uuml;hlen-Grundform</li> <li>Frosch-Grundform</li> <li>Vogel-Grundform</li> <li>Wasserbomben-Grundform</li> </ul> <p>Insgesamt gibt es heute wesentlich mehr Grundformen; diese vier Grundformen hei&szlig;en klassisch, da sie seit Jahrhunderten benutzt werden. Da man mit diesen Grundformen in der Komplexit&auml;t jedoch eingeschr&auml;nkt ist, wurden in der letzten Zeit mehr und mehr Grundformen entwickelt. Einfache Origami-Modelle kommen gew&ouml;hnlich mit 10 bis 30 Faltschritten aus und sind daher meist nicht so naturgetreu, aufgrund ihrer Einfachheit besitzen sie jedoch einen ganz speziellen Charme. Test</p>",textile,VersaCommerce,Origami,0.3,TRUE,TRUE,0,FALSE,FALSE,Stück,1,1,1,FALSE,"Demoprodukt,Origami,Papierfaltkunst,Rot,Taube",6,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,90000000111,Silvesterstern,standard,TRUE,8.50€,900000000345,,in vielen Farben,"<p><strong>Origami ist die Kunst des Papierfaltens.</strong></p> <p>Ausgehend von einem zumeist quadratischen Blatt Papier entstehen allein durch Falten 2- oder 3-dimensionale Objekte wie z. B. Tiere, V&ouml;gel, Oriplane, Gegenst&auml;nde und geometrische K&ouml;rper. Dabei sind speziell im westlichen Kulturkreis Schere und Klebstoff zum Teil absolut verp&ouml;nt.</p> <p>Ein Modell beginnt meistens mit einer sogenannten Basis (Grundform).&nbsp;Die vier klassischen Grundformen sind:</p> <ul> <li>Windm&uuml;hlen-Grundform</li> <li>Frosch-Grundform</li> <li>Vogel-Grundform</li> <li>Wasserbomben-Grundform</li> </ul> <p>Insgesamt gibt es heute wesentlich mehr Grundformen; diese vier Grundformen hei&szlig;en klassisch, da sie seit Jahrhunderten benutzt werden. Da man mit diesen Grundformen in der Komplexit&auml;t jedoch eingeschr&auml;nkt ist, wurden in der letzten Zeit mehr und mehr Grundformen entwickelt. Einfache Origami-Modelle kommen gew&ouml;hnlich mit 10 bis 30 Faltschritten aus und sind daher meist nicht so naturgetreu, aufgrund ihrer Einfachheit besitzen sie jedoch einen ganz speziellen Charme.</p>",html,VersaCommerce,Origami,0,TRUE,TRUE,86,TRUE,TRUE,Milliliter,5,8,3,TRUE,"Demoprodukt,Gelb,Origami,Papierfaltkunst,Stern,Türkis, Grün, Pink",3,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,90000000114,Würfel,standard,TRUE,13.89€,900000000345,,in vielen Farben...,"<p><strong>Origami ist die Kunst des Papierfaltens.</strong></p> <p>Ausgehend von einem zumeist quadratischen Blatt Papier entstehen allein durch Falten 2- oder 3-dimensionale Objekte wie z. B. Tiere, V&ouml;gel, Oriplane, Gegenst&auml;nde und geometrische K&ouml;rper. Dabei sind speziell im westlichen Kulturkreis Schere und Klebstoff zum Teil absolut verp&ouml;nt.</p> <p>Ein Modell beginnt meistens mit einer sogenannten Basis (Grundform).&nbsp;Die vier klassischen Grundformen sind:</p> <ul> <li>Windm&uuml;hlen-Grundform</li> <li>Frosch-Grundform</li> <li>Vogel-Grundform</li> <li>Wasserbomben-Grundform</li> </ul> <p>Insgesamt gibt es heute wesentlich mehr Grundformen; diese vier Grundformen hei&szlig;en klassisch, da sie seit Jahrhunderten benutzt werden. Da man mit diesen Grundformen in der Komplexit&auml;t jedoch eingeschr&auml;nkt ist, wurden in der letzten Zeit mehr und mehr Grundformen entwickelt. Einfache Origami-Modelle kommen gew&ouml;hnlich mit 10 bis 30 Faltschritten aus und sind daher meist nicht so naturgetreu, aufgrund ihrer Einfachheit besitzen sie jedoch einen ganz speziellen Charme.</p>",visual,VersaCommerce,Origami,0,FALSE,FALSE,29,FALSE,TRUE,Stück,1,1,1,FALSE,"Demoprodukt,Origami,Papierfaltkunst,bunt, Grün, Rot, Würfel",2,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,11224433-PRAE,Faltanleitung,standard,TRUE,0.00€,900000000345,,Schwalbe,"<p>Auf dieser Faltanleitung wird Ihenen Schritt f&uuml;r Schritt bescrieben, wie Sie unsere Schwalbe ganz leicht selbst falten k&ouml;nnen. Dieses Produkt ist inaktiv.</p>",textile,VersaCommerce,Anleitung,0,,,,FALSE,FALSE,Stück,1,1,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,CD-100,Origami Faltanleitungen CD,standard,TRUE,12.98€,900000000345,15.98€,,"<p>Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.</p>",html,VersaCommerce,Anleitung,0,FALSE,FALSE,0,FALSE,FALSE,Stück,1,1,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
